continent,country,city,name,latitude,longitude,website,extra
AF,South Africa,Breedekloof,Lateganskop Wynkelder,-33.51503,19.18655,,
AF,South Africa,Breedekloof,De Hoop Plaas,-33.42918,19.23438,http://www.dekeur.co.za/,
AF,South Africa,Breedekloof,La Plaisante Estate,-33.45632,19.2085,,
AF,South Africa,Buffeljags,Olivedale Private Vineyards,-34.08533,20.49998,https://olivedalevineyards.com/,7;9;4;15;69;0;10;5;89
AF,South Africa,Buffeljags,Tangelo Citrus Estate,-34.0499,20.53356,,
AF,South Africa,Calitzdorp,De Krans Wines,-33.54036,21.68409,http://www.dekrans.co.za/,
AF,South Africa,Calitzdorp,Calitzdorp Wine Cellar,-33.53823,21.68602,http://www.calitzdorpwine.co.za/,
AF,South Africa,Calitzdorp,TTT Cellars,-33.53081,21.69574,http://www.tttcellars.co.za/,
AF,South Africa,Calitzdorp,Peter Bayly Wines,-33.45498,21.75992,http://www.peterbayly.co.za/,
AF,South Africa,Calitzdorp,Du'SwaRoo,-33.51611,21.69394,http://www.duswaroo.co.za/,
AF,South Africa,Calitzdorp,Axe Hill Winery (Pty) Ltd,-33.51653,21.68957,http://www.axehill.co.za/,
AF,South Africa,Cango Valley,Karusa Premium Wines & Craft Brewery,-33.47656,22.24326,http://www.karusa.co.za/,
AF,South Africa,Cape Agulhas,Lomond Wine Estate - Gansbaai,-34.56614,19.48309,https://www.lomond.co.za/,3;2;1;18;4;0;28;5;42;8
AF,South Africa,Cape South Coast,Elandskloof,-34.43549,19.80105,,
AF,South Africa,Cape South Coast,ReedValley,-34.16743,22.01825,http://www.reedvalley.com/,
AF,South Africa,Cape South Coast,NLR WINES,-33.98152,22.45498,,
AF,South Africa,Cape South Coast,Corner Emporium Winery And Deli,-33.95517,22.39518,,
AF,South Africa,Cape South Coast,Tenuta GioMaLi,-34.04275,22.92518,https://www.facebook.com/tenutagiomali,368;28;22
AF,South Africa,Cape South Coast,Knysna Vineyard Church,-34.04393,23.07155,http://www.knysnavineyard.org/,
AF,South Africa,Cape South Coast,Baleia Wines & Olive oil,-34.10973,21.25497,https://www.baleiawines.com/,
AF,South Africa,Cape Town,Constantia Uitsig Wine Estate,-34.04752,18.42484,http://uitsig.co.za/contact/,
AF,South Africa,Cape Town,Cape Point Vineyards,-34.09887,18.38322,http://www.cpv.co.za/,
AF,South Africa,Cape Town,Cape Point Vineyards Restaurant,-34.094,18.3875,http://www.cpv.co.za/,
AF,South Africa,Cape Town,The Vineyard,-33.97904,18.4587,http://www.vineyard.co.za/,
AF,South Africa,Cape Town,CONSTANTIA WINE ROUTE,-34.04433,18.42931,http://constantiawineroute.com/,
AF,South Africa,Cape Town,Rosendal Wines,-33.88294,18.63535,,
AF,South Africa,Cape Town,Savage Wines,-33.92928,18.46514,https://www.savagewines.com/,
AF,South Africa,Cape Town,Mellish Family Vineyards,-33.80585,18.55953,https://mellishvineyards.com/,3;67;4;28
AF,South Africa,Cape Town,Dorrance Winery,-33.92034,18.41846,http://dorrancewines.com/,
AF,South Africa,Cape West Coast,Groote Post Winery,-33.4832,18.4101,http://www.grootepost.co.za/,
AF,South Africa,Cape West Coast,Forest Friends,-32.91703,17.98238,http://forestfriend.co.za/,
AF,South Africa,Cape West Coast,House of Blake's,-33.34327,18.17116,http://www.blakefamilywines.com/,
AF,South Africa,Central Drakensberg,Cathedral Peak Wine Estate,-28.84059,29.45297,http://www.cathpeakwines.com/,
AF,South Africa,Ceres,Koelfontein Wines,-33.24675,19.33369,https://koelfontein.co.za/what-we-do/wine/,
AF,South Africa,Ceres,"Die Kloof, Koelfontein",-33.24803,19.3269,https://koelfontein.co.za/,2;1;21;0
AF,South Africa,Ceres,Koelfontein Estate (Pty) Ltd,-33.26511,19.33175,http://www.koelfontein.co.za/,
AF,South Africa,Ceres Plateau,Klondyke Cherry Farm,-33.31511,19.5815,https://www.cherryfarm.co.za/,
AF,South Africa,Citrusdal Valley,Platkloof - Citrusdal,-32.77439,19.07524,,
AF,South Africa,Constantia,Klein Constantia Estate,-34.03855,18.4134,http://www.kleinconstantia.com/,
AF,South Africa,Constantia,Steenberg Tasting Room,-34.07544,18.423,http://www.steenbergfarm.com/,
AF,South Africa,Constantia,Constantia Glen,-34.01471,18.41473,http://www.constantiaglen.com/,
AF,South Africa,Constantia,Groot Constantia-Trust,-34.02673,18.42473,https://www.grootconstantia.co.za/,617;3;6;2;39;9;1;67;4;0;313;224;10;5
AF,South Africa,Constantia,High Constantia Wine Cellar,-34.02536,18.42689,http://www.highconstantia.co.za/,
AF,South Africa,Constantia,Eagles' Nest Wines,-34.01509,18.41513,http://www.eaglesnestwines.com/,
AF,South Africa,Constantia,Buitenverwachting,-34.04137,18.41691,http://www.buitenverwachting.com/,
AF,South Africa,Constantia,Constantia Mist,-34.01519,18.41522,https://constantiamist.co.za/,
AF,South Africa,Constantia,Constantia Uitsig,-34.04553,18.42024,http://uitsig.co.za/,
AF,South Africa,Constantia,"Constantia Royale, Nova Zonnestraal - Wine sold on our website",-34.00796,18.45028,http://www.constantiaroyale.co.za/,
AF,South Africa,Constantia,Silvestre Wines,-34.01073,18.40703,http://silvestrewines.com/,
AF,South Africa,Constantia,Beau Constantia,-34.01367,18.40646,http://www.beauconstantia.com/,
AF,South Africa,Devon Valley,Louisvale Wines,-33.90912,18.80746,http://www.louisvale.com/,
AF,South Africa,Devon Valley,Clos Malverne Wine Farm,-33.91079,18.81488,http://www.closmalverne.co.za/,
AF,South Africa,Devon Valley,J.C Le Roux,-33.90417,18.81036,http://www.jcleroux.co.za/,
AF,South Africa,Devon Valley,Aaldering Vineyards & Wines,-33.91968,18.82778,http://www.aaldering.co.za/,
AF,South Africa,Devon Valley,Botanica Wines,-33.90526,18.82177,http://www.botanicawines.com/,
AF,South Africa,Devon Valley,Meinert Wines,-33.90062,18.81425,http://www.meinertwines.com/,
AF,South Africa,Devon Valley,Le Grand Domaine,-33.90264,18.80695,http://www.granddomaine.co.za/,
AF,South Africa,Devon Valley,The Hills Wine,-33.91506,18.81333,http://www.thehillswine.com/,
AF,South Africa,Devon Valley,DEVONAIR BOUTIQUE WINE ESTATE,-33.89522,18.81103,,
AF,South Africa,Devon Valley,Stellenview Premium Wines,-33.90004,18.80651,http://www.stellenview.co.za/,
AF,South Africa,Devon Valley,Wine Estate - Sylvanvale Vineyards,-33.90283,18.81424,,
AF,South Africa,Devon Valley,Glen Mira Family Wines,-33.90507,18.8001,http://www.glenmira.com/,
AF,South Africa,Devon Valley,Middelvlei Wine Estate,-33.92813,18.83264,http://www.middelvlei.co.za/,
AF,South Africa,Devon Valley,Sylvanvale Vineyards,-33.9034,18.81552,,
AF,South Africa,Douglas,Landzicht Winery,-29.06585,23.76867,http://www.landzicht.co.za/,
AF,South Africa,Durbanville,De Grendel Wine Estate and Restaurant,-33.85137,18.57162,https://www.degrendel.co.za/,
AF,South Africa,Durbanville,Meerendal Wine Estate,-33.79902,18.62399,https://meerendal.co.za/,
AF,South Africa,Durbanville,Durbanville Hills Winery,-33.82493,18.56581,http://www.durbanvillehills.co.za/,
AF,South Africa,Durbanville,Klein Roosboom Boutique Winery,-33.82032,18.57466,http://www.kleinroosboom.co.za/,
AF,South Africa,Durbanville,Diemersdal Wine Estate,-33.80257,18.64606,http://www.diemersdal.co.za/,
AF,South Africa,Durbanville,Nitida Wine Farm,-33.83586,18.59163,http://www.nitida.co.za/,
